Brand,Material,Size,Compartments,Laptop Compartment,Waterproof,Style,Color,Weight Capacity (kg),Price
Puma,Nylon,Small,2.0,Yes,No,,Pink,24.4786326820588,129.03923412382915
Nike,Polyester,Large,9.0,Yes,No,Tote,Red,12.81746349161056,130.45457431044787
Adidas,Nylon,Medium,5.0,Yes,Yes,Backpack,Blue,15.57120205432491,17.870369380639847
Adidas,Canvas,Small,9.0,Yes,No,Tote,Gray,,28.76194244567571
Puma,Nylon,Medium,7.0,No,Yes,Tote,Blue,26.877388447873795,73.37348532337222
Jansport,Canvas,Medium,1.0,No,No,Backpack,Gray,11.71552451283713,56.09149703270332
Adidas,Nylon,Small,9.0,Yes,No,Tote,Black,24.16388323289772,28.13828240246353
Jansport,Leather,Large,10.0,Yes,Yes,Messenger,Gray,17.603708378025328,25.75621206344948
Adidas,Canvas,Large,9.0,No,Yes,Tote,Gray,5.0,116.26696832012374
Jansport,Nylon,Medium,2.0,No,Yes,Backpack,Pink,26.717569023031796,115.12340818358804
Puma,Polyester,Medium,5.0,No,No,Backpack,Green,13.163965468212876,118.64370161019212
Jansport,,Large,10.0,No,No,Messenger,,5.615972437265639,51.98132989218598
Puma,Leather,Medium,6.0,Yes,Yes,Messenger,Gray,6.812788081319047,70.817541400036
Under Armour,Polyester,Medium,6.0,Yes,No,Tote,Gray,20.671146610744945,80.89545049552596
Nike,Canvas,Large,6.0,No,Yes,Messenger,Pink,20.372571874383716,58.1748582660038
Puma,Nylon,Medium,4.0,No,Yes,Tote,Gray,21.521502091345628,95.73149205622605
Jansport,Polyester,Large,10.0,,No,Messenger,Red,8.384562871077645,141.77421707736806
Adidas,Leather,Large,9.0,No,No,Tote,Pink,21.504934822766376,74.77138681493938
,Leather,Large,6.0,No,No,Tote,Green,,29.770616796404795
Puma,Leather,Small,5.0,No,Yes,Messenger,Black,21.760105638765378,133.3386519423556
Under Armour,Polyester,Medium,4.0,Yes,Yes,Backpack,Black,6.499466726993459,26.70910243175029
Puma,Polyester,Small,5.0,No,Yes,Tote,Blue,5.005485195144537,66.10337115486364
Under Armour,Polyester,Medium,10.0,No,No,Tote,Pink,17.75615310525014,52.78687592684843
Jansport,Canvas,Large,10.0,No,Yes,Messenger,Black,6.53184296075809,22.085523587541918
Nike,Leather,Small,8.0,No,No,Tote,Gray,27.70503166548323,111.8945136509524
Jansport,Canvas,Medium,4.0,Yes,Yes,,Black,6.150893788244821,103.2368278463726
Jansport,Nylon,Large,9.0,No,No,Tote,Green,25.697773858401977,150.0
Adidas,Polyester,Medium,2.0,Yes,Yes,Messenger,Gray,30.0,136.76945962301463
Nike,Nylon,Large,5.0,Yes,Yes,Messenger,Black,26.064104403860046,45.48097909418969
Jansport,Leather,Small,10.0,No,Yes,Backpack,Blue,25.002275381284207,19.525153067135054
Puma,Canvas,Large,7.0,No,,Tote,Red,5.523961810146149,78.86759805499754
,,Small,9.0,No,No,,Blue,26.58180862543215,123.45959223793464
Adidas,Nylon,Medium,4.0,No,Yes,Messenger,Blue,27.710355553100317,106.0911343959662
Adidas,Leather,Large,7.0,No,Yes,Tote,Green,12.934285419022135,77.43895170239321
Under Armour,Polyester,Medium,7.0,Yes,Yes,Tote,Pink,20.690424584282308,33.531755275356424
Adidas,Leather,Large,4.0,Yes,Yes,Backpack,Red,11.51648192167783,19.12405337924123
Nike,Nylon,Small,8.0,Yes,No,Tote,Red,17.995688333184326,69.87181726295242
Under Armour,Leather,Medium,2.0,Yes,Yes,Messenger,Red,24.730170745393718,134.21097598336576
Puma,Polyester,Medium,5.0,Yes,Yes,Messenger,Pink,6.62533621507998,33.619364203354856
,Nylon,Small,2.0,Yes,Yes,Messenger,Blue,,63.5560471830323
Puma,Polyester,Large,8.0,No,No,Tote,Red,18.10124502824053,135.29752545113885
Jansport,Nylon,Small,9.0,No,Yes,Messenger,Pink,6.220651056349585,142.39258091407945
Under Armour,Leather,Small,4.0,Yes,Yes,Tote,Black,13.813877628501515,84.3709716127925
Jansport,Polyester,Medium,5.0,Yes,No,Backpack,Gray,18.47834378402617,45.03794778814044
Adidas,Leather,Medium,9.0,No,Yes,Tote,Green,27.4991681299992,124.11280865879634
Under Armour,Nylon,Large,5.0,Yes,,Messenger,,19.68117098154242,96.27187560337494
Adidas,Polyester,Small,4.0,Yes,No,Tote,Red,22.502002779267244,53.02732630424862
Puma,Polyester,Large,9.0,No,No,Messenger,Gray,17.88771162046401,25.367716423806097
Nike,Leather,Small,8.0,No,No,Tote,Blue,24.82083148636061,33.07171278101139
Jansport,Nylon,Small,8.0,Yes,No,Messenger,Gray,24.518159911145137,126.56387082693172
Puma,Leather,Large,9.0,Yes,No,Messenger,Blue,29.057172403422584,112.39901565110723
Adidas,Leather,Small,1.0,Yes,Yes,,Pink,15.722529114247342,46.722576675462
Nike,Nylon,Large,7.0,No,,Tote,Gray,7.375893975384647,93.4082269759448
Under Armour,Leather,Large,3.0,No,No,Messenger,Gray,18.15012360788584,110.39918251321374
Jansport,Polyester,Large,10.0,No,No,Tote,Pink,19.629757418867776,51.841458253419
,Nylon,Small,5.0,Yes,Yes,Backpack,Red,19.934259585160177,129.02325370940665
Nike,Polyester,Medium,4.0,Yes,No,Backpack,Red,7.699995031220262,17.652178565143842
Under Armour,Canvas,Medium,3.0,Yes,No,Backpack,Green,12.383034477312007,143.10826545651727
,Polyester,Large,7.0,No,Yes,Messenger,Green,8.437076225827623,107.18467708537148
Puma,Leather,Large,9.0,Yes,Yes,Messenger,Red,5.0,99.66488493428434
Nike,Leather,Large,5.0,Yes,No,,Gray,15.783010736898936,109.42516362063944
Adidas,Polyester,Small,10.0,Yes,Yes,Messenger,Green,21.16194135159738,86.41503060646274
Nike,,Medium,7.0,Yes,Yes,Tote,Black,20.65907091873037,16.917968122027194
Adidas,Polyester,,6.0,Yes,Yes,Messenger,Blue,,76.02833750961791
Adidas,Canvas,Medium,5.0,Yes,No,Tote,Green,14.111455510407923,147.9450963915263
Nike,Polyester,Large,,Yes,No,Backpack,Red,26.81490038612948,88.9129014990843
Nike,Leather,Small,5.0,Yes,No,Tote,Blue,26.73840854120068,42.24411778719825
Adidas,Canvas,Large,1.0,,No,Backpack,Black,17.64262236706161,49.42768429420846
Jansport,Canvas,Large,10.0,Yes,Yes,Tote,Blue,23.023776793961837,114.1815482002678
Puma,Leather,Medium,6.0,Yes,Yes,Messenger,Blue,10.150108820276198,129.52089546770824
,Polyester,Large,2.0,Yes,Yes,Messenger,Red,19.36034876704123,20.238673229250367
Adidas,Nylon,Large,4.0,Yes,No,Tote,,8.794530101429691,150.0
Jansport,Leather,Small,10.0,,,Messenger,Gray,8.012677716688632,16.61259583187025
Under Armour,Leather,Small,9.0,No,No,,Green,9.867420464427507,34.12591864273097
Puma,,Medium,6.0,Yes,Yes,Messenger,Blue,22.94487556516444,58.008189183089534
Under Armour,Polyester,Medium,3.0,Yes,Yes,Messenger,Pink,9.51569837574672,24.938250723744687
Nike,Canvas,Medium,9.0,No,Yes,Backpack,Pink,24.47505241014716,21.812179365114503
Adidas,Polyester,Medium,3.0,No,Yes,Messenger,Gray,30.0,118.5764070760852
Nike,Canvas,Small,8.0,Yes,No,Tote,Red,26.345266056265736,32.92957275133803
Under Armour,Leather,Small,4.0,No,No,Backpack,Green,10.513726364667662,121.86796474137525
Under Armour,Leather,Small,6.0,Yes,No,Tote,Green,5.0,104.50378010418514
Adidas,Leather,Medium,4.0,No,No,Backpack,Pink,19.91312081382787,82.45636318574375
Under Armour,Leather,Small,1.0,No,No,Tote,Blue,25.338333472889563,62.53481978856327
Adidas,Nylon,Large,7.0,,,,Gray,15.3921202946455,94.30569048891762
Adidas,,Large,6.0,Yes,No,Messenger,Gray,16.663704103602285,38.93848347671406
Jansport,Canvas,,4.0,Yes,Yes,Tote,Blue,28.054084886839465,137.41996224237758
Puma,Canvas,Small,2.0,No,No,Tote,Red,8.796329644304514,93.66334725584215
Adidas,Canvas,Medium,4.0,No,Yes,Messenger,Pink,16.243650579201365,22.094823164151087
Puma,Canvas,Medium,3.0,,Yes,Messenger,Black,13.456359037067566,85.19037965133549
Under Armour,Nylon,Large,3.0,No,,Backpack,Gray,15.368875569773804,16.422341809724966
Adidas,Leather,Medium,5.0,No,No,Tote,Black,10.097326362188111,28.931336112371277
Puma,,Medium,9.0,No,No,Tote,Blue,17.196800126606075,65.61705032075855
Puma,Nylon,Small,2.0,No,Yes,Backpack,Red,8.509754018323534,107.9504312534728
Nike,,Large,7.0,Yes,No,Messenger,Pink,13.123924198685906,27.26781863820232
Adidas,Canvas,Medium,1.0,Yes,No,Backpack,Blue,7.309705911009416,39.16546872845951
,Polyester,Large,,Yes,No,Messenger,Green,21.832188063465036,45.996512527692765
Under Armour,Leather,Small,1.0,Yes,Yes,Tote,Green,9.563572548906071,63.3221671395558
Puma,Canvas,Small,1.0,Yes,No,,Pink,5.0,48.65006957707114
Jansport,Leather,Large,6.0,Yes,No,Messenger,Green,18.61759401201188,
,Polyester,Small,,No,No,Backpack,Black,28.6844541328933,42.53079189543047
Jansport,Canvas,Large,8.0,No,No,Backpack,Black,8.565776772707354,136.4584660511919
Under Armour,Leather,Small,5.0,No,Yes,,Pink,5.0,
Under Armour,Nylon,Large,9.0,No,No,Tote,Pink,15.448191190521666,20.698435922718147
Jansport,Canvas,Large,10.0,Yes,,Backpack,Pink,9.897297866103427,28.071791509399453
Jansport,Leather,Small,5.0,Yes,No,Messenger,Blue,5.0,23.90157518013972
Puma,Leather,Large,6.0,No,No,Messenger,Blue,12.535294439692086,58.05393148312671
Under Armour,Canvas,Large,7.0,No,Yes,Backpack,Green,25.05664200934584,33.04659370272346
Adidas,Canvas,Medium,5.0,Yes,No,Tote,,20.1303459722984,113.2657380426193
,Polyester,Medium,3.0,No,No,Messenger,Red,9.68568201362655,42.99340333152265
Nike,Nylon,Medium,3.0,No,No,Tote,Pink,19.91629718566537,99.47285929598571
Nike,,,10.0,No,No,Tote,Gray,13.152810013774928,108.84983815277704
Jansport,Canvas,,10.0,No,Yes,Backpack,Blue,27.61618046937211,123.00704309182449
Jansport,Polyester,Small,8.0,No,No,Tote,,22.10643276646167,42.97108693158312
Puma,Leather,Large,,No,Yes,Messenger,Gray,18.096351408391996,24.89704778865916
,Polyester,Large,3.0,Yes,Yes,Backpack,Blue,20.92187550038514,116.85154424342224
Jansport,Leather,Large,7.0,,,Tote,Red,11.578387879310512,113.5357628765697
Nike,Polyester,Medium,5.0,No,No,Messenger,Red,29.25062174952705,18.301764308516464
Adidas,Leather,Large,3.0,No,Yes,Backpack,Gray,11.213166297785556,23.969143787923283
Puma,Nylon,Medium,3.0,No,Yes,Tote,Gray,6.847447222806208,19.37038957898605
Under Armour,Polyester,Small,8.0,Yes,No,Tote,Blue,30.0,66.69012884548013
Adidas,Nylon,,1.0,No,No,Tote,Gray,8.352641829132711,
Puma,Nylon,Medium,8.0,Yes,No,Tote,Gray,20.417872247119583,131.77692193959896
Jansport,Canvas,Medium,7.0,No,Yes,Messenger,Blue,10.339273418233944,74.18505180187634
Adidas,Leather,Medium,5.0,No,Yes,Tote,Red,18.914520205474552,118.56452248704318
Under Armour,Polyester,Large,9.0,Yes,No,Tote,Green,9.527469772438852,126.5157623259644
Jansport,Leather,Large,6.0,Yes,Yes,Backpack,Blue,17.341397825411068,102.03746329090816
Adidas,Polyester,Large,7.0,No,No,Messenger,Green,16.29813719458151,79.25087306987992
,Canvas,Small,1.0,No,No,Backpack,Red,14.790800040635473,27.71285374366185
Puma,Canvas,Medium,9.0,No,Yes,Tote,Blue,21.24885721233261,97.52633193802536
Nike,Polyester,Small,,No,No,Backpack,Green,28.69548576196788,41.63814733845077
Nike,Leather,Medium,10.0,Yes,No,Messenger,Pink,25.96929136262122,65.97118940128347
,Nylon,Large,2.0,Yes,Yes,Backpack,Pink,17.185860356891002,46.21992817060975
,Nylon,Small,4.0,Yes,No,Messenger,Pink,9.849100877588828,70.73082979547755
Puma,Nylon,Small,2.0,No,Yes,Backpack,Blue,25.68238769005864,140.9147907884234
Adidas,Canvas,Large,2.0,Yes,Yes,Backpack,,16.61996556133122,18.90198498441453
Jansport,Nylon,Large,7.0,No,Yes,Backpack,Green,23.008768802640912,84.05560204573267
Puma,Polyester,Medium,2.0,No,,Tote,Black,28.12009248809258,99.68037842293062
Jansport,Canvas,Large,5.0,No,Yes,Backpack,Black,22.99847679773338,126.39459949198026
Jansport,Canvas,Large,7.0,No,Yes,Tote,Gray,14.277059864492072,150.0
Under Armour,Leather,Small,8.0,Yes,No,,Black,11.258172485019518,71.95323562837844
Jansport,Polyester,Medium,7.0,No,No,Tote,Green,30.0,57.03746153665291
Puma,Leather,Large,10.0,No,No,Backpack,Red,6.297776839485231,52.99558110136173
Nike,Leather,Small,,,No,Tote,Gray,19.42541346921393,85.70303060263709
Puma,Canvas,Large,7.0,No,No,Messenger,Blue,23.54766320439065,22.21838999903186
Under Armour,Polyester,Medium,5.0,No,Yes,Tote,Red,19.41524811009428,49.96475836410304
Puma,Canvas,Medium,9.0,Yes,No,Backpack,Pink,25.531435338747,22.74578406954103
Under Armour,Canvas,Large,4.0,No,No,Tote,Red,15.126959217668716,
Adidas,Nylon,Large,9.0,No,Yes,Messenger,Black,25.63897097908984,46.0276020424933
Jansport,Nylon,Small,7.0,No,Yes,Messenger,Green,10.080826651403664,127.54343879230632
Under Armour,Canvas,Medium,6.0,Yes,,Messenger,Pink,20.222351966298188,81.62004755870178
Nike,Canvas,Large,5.0,,,Backpack,Black,7.918424128727883,99.7925147907119
Puma,Leather,,,Yes,No,Backpack,,12.4176327590128,80.26288186864569
Puma,,Small,10.0,Yes,Yes,Messenger,Red,6.8335982729410105,114.93507523506304
Adidas,Canvas,Medium,6.0,Yes,Yes,Messenger,Red,,44.24758311196098
Puma,Canvas,Large,7.0,No,No,Backpack,Pink,14.207433968675842,133.60313808994945
Puma,Canvas,Large,1.0,No,No,,Blue,25.04039503904057,116.79654681540032
,,Large,10.0,No,Yes,Tote,Black,17.842535076841084,130.97229911101363
Under Armour,Polyester,Small,10.0,No,Yes,Tote,Green,5.209969347596262,146.9010714609357
Under Armour,Polyester,,5.0,No,Yes,Messenger,Green,11.205414647250333,134.88510475206044
Nike,Polyester,Small,4.0,Yes,No,Tote,Green,14.101220454256651,103.37169317101664
Adidas,Canvas,Small,8.0,Yes,Yes,Tote,Blue,28.60139138121077,131.04169289810335
Under Armour,Nylon,Large,4.0,No,Yes,Tote,Gray,16.25113615910029,41.21238038847287
Jansport,Polyester,Medium,1.0,Yes,No,Backpack,Black,8.603682371950487,26.201809856947403
Jansport,Canvas,Small,7.0,Yes,Yes,Messenger,Green,20.0931688607922,123.4749091839105
Jansport,Polyester,Small,2.0,Yes,,Tote,Gray,9.294972969694186,103.82908714489876
Under Armour,Polyester,Medium,4.0,No,Yes,Messenger,Green,10.05494832078267,35.87502738805576
Jansport,Polyester,Small,,No,Yes,Messenger,Red,14.77839280214364,110.63166315664894
,Leather,Small,10.0,Yes,No,Tote,Red,26.93128450312485,45.063835156067626
Jansport,Leather,,4.0,Yes,Yes,Tote,Green,26.189276843674413,86.41902899948204
Puma,Canvas,Small,5.0,Yes,Yes,Messenger,Gray,28.33626283192477,29.154718740145302
Jansport,Polyester,Medium,3.0,No,Yes,Messenger,Pink,13.110240590108532,20.241464536291208
Adidas,Polyester,Large,4.0,No,,Messenger,Black,7.607297001714176,150.0
Nike,Canvas,Large,10.0,Yes,Yes,,Black,11.134673332205402,38.392149985398575
Puma,Leather,Small,7.0,Yes,Yes,Tote,Pink,5.0,18.95245246065371
Under Armour,Polyester,Small,4.0,Yes,No,Tote,Pink,24.02686454369245,107.21195223923316
Jansport,Polyester,Medium,10.0,Yes,No,Tote,Pink,,64.14778952359104
Adidas,,Small,,Yes,,Backpack,Green,20.954241747638,120.31246637552762
Adidas,Canvas,Small,5.0,Yes,Yes,Messenger,Black,7.016518282023869,79.73160524388572
Puma,Leather,Medium,2.0,Yes,Yes,Messenger,Black,15.817808893538563,89.93892509776512
Adidas,Nylon,Small,,No,No,Tote,Red,17.899247555655766,53.15565160372148
Jansport,Canvas,Small,1.0,Yes,No,Backpack,Gray,24.06134629303942,60.45847376395062
Puma,Nylon,Large,1.0,Yes,No,Tote,Pink,19.71100083347136,44.04668304270099
Puma,Polyester,Small,8.0,Yes,Yes,Backpack,Pink,30.0,93.5727760448282
Under Armour,Polyester,Small,10.0,No,No,Tote,Red,19.410025919751348,103.81191083572516
Puma,,Small,2.0,No,No,Tote,Black,27.380318367540536,20.97119637569828
Puma,Leather,Large,7.0,No,Yes,Messenger,Black,5.0,35.17120703672071
Adidas,Leather,Large,10.0,Yes,No,Tote,Gray,25.01376016716437,122.21417263579762
Under Armour,Canvas,Small,3.0,No,Yes,Tote,Blue,12.536435284136818,72.44099540510777
Under Armour,Canvas,Medium,10.0,Yes,No,Backpack,Red,19.176538557629705,31.43013651831678
Nike,Leather,,8.0,Yes,No,Tote,Blue,8.35484365693286,150.0
Adidas,Polyester,Small,7.0,Yes,No,Backpack,Green,,135.92791593896993
Under Armour,,Large,,No,No,Tote,,7.994809271985034,150.0
,Nylon,Medium,2.0,No,No,Messenger,Gray,14.193197514571846,100.8912331643992
Jansport,Polyester,Small,9.0,No,Yes,Messenger,Blue,23.450036907363216,93.10994821375382
Jansport,Canvas,Medium,9.0,No,Yes,Tote,Black,6.7921210586590535,127.08247413263332
Nike,Leather,Small,10.0,No,No,Messenger,Blue,12.602835430456526,51.08842371600683
Jansport,Canvas,Medium,5.0,Yes,No,Messenger,Black,30.0,138.0219213737473
Adidas,Nylon,Large,2.0,Yes,No,,Pink,29.132612571983408,128.19541343222193
Under Armour,Canvas,,,,,Messenger,Green,8.819424018679715,26.820654720162462
,Canvas,Small,1.0,No,Yes,Messenger,Pink,23.701292162843917,79.00678073228639
Nike,Leather,Large,8.0,Yes,Yes,Backpack,Green,27.984635195884294,80.45744937858865
Nike,Nylon,Medium,6.0,Yes,No,Backpack,Gray,5.076429023135544,83.76992283217226
,Polyester,Small,8.0,No,Yes,Backpack,Green,22.13894695864937,23.335351222208093
Under Armour,Canvas,Medium,2.0,No,No,Messenger,Gray,10.504046214260718,113.3772137938991
Puma,Leather,Medium,6.0,Yes,No,Backpack,Pink,28.87368647701122,66.84666838806903
Adidas,Canvas,Large,10.0,No,No,Messenger,Blue,25.30348545362953,150.0
Puma,Polyester,Large,8.0,Yes,Yes,Backpack,Pink,,118.20825206450893
Jansport,Polyester,Small,8.0,Yes,No,Backpack,Pink,21.855167248582863,24.132595484014143
Puma,Canvas,Medium,9.0,No,Yes,,Black,22.30682380035699,91.73386559078374
Puma,Nylon,Medium,4.0,No,No,Messenger,Pink,25.257228926775067,86.25958554968273
Nike,,Large,1.0,No,Yes,Backpack,Blue,12.290052344746488,18.297698615631766
,Canvas,Large,7.0,Yes,No,,Blue,11.645692771478066,116.0529338434646
,Polyester,Medium,10.0,Yes,No,Messenger,Gray,17.78588530755125,46.75247366254366
Under Armour,Canvas,Large,10.0,No,No,Messenger,Pink,17.49269538978034,111.69869330369988
Under Armour,,Large,3.0,Yes,No,,Black,19.425361333060486,125.47444863475114
Jansport,Leather,Medium,7.0,,No,Messenger,Red,29.32169181684465,19.083221254181694
Adidas,Polyester,Large,6.0,No,No,Tote,Pink,20.577585212787216,41.75128616833516
Nike,Polyester,Medium,3.0,No,Yes,Messenger,Green,27.18112992045271,127.04573696418818
Adidas,Polyester,Medium,,Yes,No,,Blue,26.870406297372103,37.14223958000196
,Canvas,Large,2.0,Yes,Yes,Tote,Red,10.460702867737249,92.26868716717726
Jansport,Nylon,Large,6.0,No,,Backpack,Green,5.165612201553072,128.12522665642015
Jansport,Leather,Large,7.0,Yes,Yes,Tote,Green,21.497714347641537,146.8391095618781
Nike,Canvas,Large,8.0,Yes,No,Tote,Green,10.470707528432674,55.4995180145143
Puma,Polyester,Small,1.0,No,No,Tote,Red,27.266185558520284,130.41681833872593
Under Armour,Polyester,Large,4.0,No,No,,Pink,,51.6366377932002
Adidas,Canvas,Small,3.0,Yes,No,Messenger,Black,23.225850393163118,79.13063045415159
Nike,Canvas,Large,,No,No,Messenger,Black,5.009264152403183,104.68281859375573
Adidas,Nylon,Small,8.0,No,No,Tote,Gray,20.87264470643489,143.48622500480673
Adidas,,Small,7.0,No,Yes,,Green,12.497086119056842,47.80304003461059
Nike,Polyester,Large,8.0,No,No,Messenger,Gray,18.5482738291034,38.09763364307
Puma,Canvas,Medium,10.0,Yes,No,Backpack,Black,21.4266689046509,104.39218246829172
Puma,Leather,Small,10.0,Yes,No,,Pink,16.301106358186445,127.44447928703404
Adidas,Nylon,Small,7.0,Yes,Yes,Backpack,Blue,20.837462642627248,89.14532681297167
Under Armour,Leather,Medium,3.0,Yes,Yes,Messenger,Green,14.047491248089807,
Under Armour,Polyester,Small,1.0,,No,Backpack,Red,5.0,115.01815981509652
Adidas,Nylon,Medium,4.0,Yes,Yes,Backpack,Gray,15.81633491527271,57.85014045796155
Jansport,Canvas,Large,1.0,Yes,No,Messenger,Green,30.0,30.09766192187841
Adidas,Canvas,Small,5.0,Yes,Yes,Tote,Green,17.93971076950058,83.56990336320109
Adidas,Nylon,Medium,7.0,Yes,Yes,Backpack,Pink,30.0,46.49013511257687
Under Armour,Nylon,Medium,7.0,,No,Tote,Red,21.859975903404937,78.32446211101455
Puma,Polyester,Large,8.0,Yes,No,Tote,Pink,29.94673859177557,123.41518622681784
Puma,Leather,Small,4.0,Yes,Yes,Messenger,Green,26.033678852666828,85.73627780985565
Jansport,Nylon,Medium,8.0,No,Yes,Messenger,Gray,11.770224362464806,95.8917139761493
Jansport,Canvas,Medium,9.0,,Yes,,Red,6.515376568991301,119.68047383013716
Nike,Nylon,Large,9.0,Yes,,Messenger,,23.0175630131603,127.11335098464232
Puma,Nylon,Small,6.0,Yes,No,Messenger,Pink,9.77727194791608,17.97733704080615
Adidas,Canvas,Medium,1.0,Yes,No,Messenger,Pink,9.676083032478708,73.40934333540301
Jansport,Polyester,Large,6.0,No,No,Messenger,Black,24.363422146307883,37.05114210946122
Puma,Nylon,Medium,3.0,,No,Backpack,Pink,,20.942735087229188
Under Armour,Leather,Medium,10.0,Yes,Yes,Backpack,Blue,15.51098960606719,143.94566450737045
Under Armour,Nylon,,3.0,Yes,Yes,Messenger,Green,29.551258244363904,136.68802930243564
Under Armour,Leather,Medium,9.0,Yes,Yes,Tote,Pink,26.404193997059505,24.03117601435479
,Polyester,Small,7.0,,No,Backpack,Blue,17.66542040860015,99.18458492064536
Jansport,Polyester,Large,1.0,No,,Tote,Gray,7.680203260214139,128.22689127282192
Adidas,Leather,Small,4.0,Yes,Yes,Tote,Blue,15.10927204151691,45.10595471008544
Under Armour,Leather,Large,6.0,No,Yes,Tote,Gray,29.83429744973216,68.04883517926243
Puma,Nylon,Medium,10.0,No,No,Backpack,Gray,25.61956318960275,54.35305137844189
Nike,Leather,Small,8.0,Yes,No,Tote,Black,22.010250869124192,84.49918522840281
Adidas,Canvas,Medium,8.0,Yes,Yes,Messenger,Gray,25.777398059228464,55.94173705434476
Nike,Canvas,Small,3.0,No,No,Tote,Blue,18.12517391297734,121.77453113351828
Nike,Polyester,Medium,5.0,No,Yes,Messenger,Pink,30.0,135.47421633969327
Jansport,Polyester,Medium,3.0,Yes,No,Messenger,Blue,,42.50417968006803
Adidas,Polyester,Large,8.0,No,No,Backpack,Black,12.052522664068576,129.55699325528286
Puma,Polyester,Small,5.0,No,Yes,Messenger,Pink,22.535663796744423,85.4303660989503
Nike,Polyester,Medium,6.0,No,No,Backpack,Red,20.44673272471089,24.950746322704106
Puma,Canvas,Small,4.0,No,No,Tote,Blue,27.544249594480647,78.89628359734203
Adidas,Leather,Small,9.0,No,No,Tote,Green,23.13229190741405,25.337280091931905
Adidas,Polyester,Large,9.0,No,Yes,Messenger,Red,22.610570313184144,88.05068620961673
Nike,Leather,Small,5.0,Yes,No,Backpack,Black,,29.764848014988114
Jansport,Leather,Large,4.0,Yes,Yes,Backpack,Green,17.157651282850736,
Puma,Leather,Medium,5.0,Yes,,Messenger,Green,13.074543029629009,121.32692218879
Jansport,Nylon,Small,3.0,No,No,Backpack,Red,24.664985904501336,48.20491381763386
Under Armour,Polyester,Small,4.0,No,Yes,Tote,Black,18.26332194722101,143.16800245219534
Nike,,Small,3.0,No,Yes,Backpack,Blue,16.989003648372528,72.67426772307834
Under Armour,Canvas,Medium,2.0,Yes,Yes,Backpack,Pink,5.384976738353895,116.639067434392
Nike,Leather,Medium,4.0,Yes,No,Backpack,Red,23.95101911082526,49.60578058484999
Puma,Nylon,Small,1.0,Yes,No,Messenger,Pink,21.945079287720453,79.97053940506879
Under Armour,Nylon,Small,9.0,Yes,Yes,,Blue,21.46399060624323,112.206835379816
Nike,Nylon,Large,9.0,No,No,Backpack,Gray,5.024530494518663,74.72174272790068
Jansport,Canvas,Large,2.0,Yes,No,Tote,Red,15.740957011856764,72.983725319011
Nike,Canvas,Large,3.0,Yes,,Backpack,Black,7.193570272131316,147.5120737662052
Adidas,Canvas,Large,1.0,,No,Tote,Green,18.46226938541923,84.60834886609288
Puma,Canvas,Small,2.0,No,Yes,Backpack,Pink,9.872162899002014,75.21120844454386
Puma,Polyester,Medium,9.0,No,No,Tote,Pink,23.470594013205428,82.10385387084014
Puma,Polyester,Medium,,Yes,No,Messenger,Red,26.62363633025392,71.5010396188999
Adidas,Nylon,Large,2.0,No,No,Messenger,Blue,30.0,22.76581888442942
Puma,Leather,,5.0,Yes,,Tote,Green,29.144657804199515,102.32470448476428
,Nylon,Large,4.0,Yes,No,Backpack,Black,9.652845539746687,135.04943118346577
Nike,Canvas,Large,6.0,Yes,No,Tote,Black,18.77768508204913,17.674121862857273
Jansport,Leather,Large,10.0,,No,Tote,Blue,18.70820688199832,100.97297820136777
Nike,,Medium,4.0,Yes,No,Messenger,Black,8.906155431203873,
Nike,Canvas,Small,4.0,No,No,,Red,23.45908082374799,90.95524543795086
Puma,Leather,Medium,,No,No,Tote,Blue,27.1855229481328,
Under Armour,Canvas,Large,3.0,No,Yes,Backpack,Gray,5.0,50.45482024107946
Nike,Polyester,Small,1.0,No,Yes,Messenger,Pink,11.640317051394508,52.758582467174286
Jansport,Nylon,Medium,7.0,No,Yes,Backpack,Gray,20.931485753902813,29.23076400693869
Jansport,Leather,Small,7.0,Yes,Yes,,Green,14.667780001691138,61.04789488223378
Jansport,Leather,Small,2.0,No,Yes,Backpack,,25.49800744821391,125.74480879383118
Adidas,Nylon,Small,8.0,Yes,Yes,Messenger,Green,15.639677334269876,
Adidas,Canvas,Large,5.0,No,No,Messenger,Black,,142.5339891857032
Adidas,Polyester,Large,1.0,Yes,No,Tote,Red,17.10813818092752,99.0126486482932
Adidas,Canvas,Large,3.0,No,No,Backpack,Gray,19.85636185135365,104.08540233104196
Jansport,Canvas,Large,2.0,No,No,Messenger,Blue,14.582867250270509,134.35684509796883
Jansport,Leather,Small,4.0,Yes,Yes,Tote,Gray,21.39979742783146,23.20019010273792
Puma,Polyester,Medium,10.0,,Yes,Backpack,Gray,16.47785834657274,141.6630968835097
Adidas,Polyester,Medium,5.0,No,No,Backpack,Green,29.17442501326698,38.01993768329355
Adidas,Polyester,Small,7.0,Yes,,Messenger,Green,10.408108699411198,74.13450544244712
Under Armour,Leather,Medium,1.0,No,No,Backpack,Black,11.704861587040444,70.79358371938524
Adidas,Canvas,Small,9.0,No,Yes,Backpack,Black,9.551614273437236,
Adidas,Canvas,Large,2.0,No,Yes,Messenger,Black,13.47279591229632,101.50326376889672
Adidas,Leather,Small,2.0,Yes,Yes,Tote,Green,22.15667693262437,45.09119726512134
Under Armour,Canvas,Large,,No,Yes,Backpack,Red,18.035126032640964,80.73092091499372
